domain,name,homepage,platform,evidence,matched_terms,match_hits,products_sampled,source,query
jdlighting.com.au,JD Lighting & Fans | Shop Lighting & Ceiling Fans Online & In-store,https://jdlighting.com.au,shopify,products.json,"ceiling light,chandelier,desk lamp,downlight,floor lamp,flush mount,lamp,led strip,light fixture,lighting,outdoor lighting,pendant,pendant light,sconce,spotlight,table lamp,track lighting,wall light,wall sconce",570,750,seedfile,seed-file
paperlanternstore.com,"Paper Lantern Store | World's Largest Selection of Lanterns, 24 Years",https://paperlanternstore.com,shopify,products.json,"lamp,led bulb,light bulb,lighting,pendant,pendant light",546,750,seedfile,seed-file
loomlightdesign.com,"Loomlight | Reclaimed Vintage Lighting, Clocks & Binoculars",https://loomlightdesign.com,shopify,products.json,"ceiling light,chandelier,downlight,floor lamp,flush mount,lamp,lamp shade,led strip,lighting,pendant,pendant light,sconce,spotlight,table lamp,wall light,wall sconce",391,420,seedfile,seed-file
thelightingstore.co.uk,"Lighting, Crystal chandelier, Lighting Shops – The Lighting Store",https://thelightingstore.co.uk,woocommerce,store-api,"ceiling light,chandelier,desk lamp,floor lamp,lamp,lighting,pendant,pendant light,spotlight,wall light",284,300,seedfile,seed-file
edisonlightglobes.com,Vintage Style Light Fittings and bulbs Shop Online Now,https://edisonlightglobes.com,woocommerce,store-api,"ceiling light,chandelier,flush mount,lamp,lamp shade,led bulb,led strip,light bulb,light fixture,lighting,pendant,pendant light,sconce,spotlight,wall light,wall sconce",255,300,seedfile,seed-file
lightingdesign.com,"Explore Top Lighting Solutions | Salt Lake City, UT & Arizona Location — Lighting Design Store",https://lightingdesign.com,shopify,products.json,"chandelier,downlight,floor lamp,flush mount,lamp,pendant,sconce,table lamp,wall sconce",221,750,seedfile,seed-file
memoky.com,,https://memoky.com,shopify,products.json,"chandelier,floor lamp,flush mount,lamp,pendant,sconce,wall sconce",182,750,seedfile,seed-file
brightech.com,Contemporary Lighting | Brightech | Innovative Designs,https://brightech.com,shopify,products.json,"floor lamp,lamp,sconce,spotlight,table lamp,wall sconce",116,141,seedfile,seed-file
ledlightingsupply.com,"Commercial & Industrial LED Lighting, Sports Lighting, Light Poles & HVLS Fans",https://ledlightingsupply.com,woocommerce,store-api,"ceiling light,light fixture,lighting,outdoor lighting,pendant,sconce,track lighting,wall sconce",97,300,seedfile,seed-file
seagreendesignsco.com,Sea Green Designs Co | Coastal Inspired Home Decor – sea green designs,https://seagreendesignsco.com,shopify,products.json,"chandelier,floor lamp,flush mount,lamp,lighting,outdoor lighting,pendant,pendant light,sconce,table lamp,wall sconce",85,750,seedfile,seed-file
e-conolight.com,LED Lighting | Commercial & Residential Fixtures | e-conolight,https://e-conolight.com,shopify,products.json,"led strip,lighting,outdoor lighting,pendant,wall light",29,81,seedfile,seed-file
chandeliers-btq.com,Chandeliers Boutique – Chandeliers Boutique ny,https://chandeliers-btq.com,shopify,products.json,"chandelier,led strip,pendant",11,616,seedfile,seed-file
yellowpop.com,,https://yellowpop.com,shopify,products.json,neon sign,10,750,seedfile,seed-file
mod-lighting.com,Luxury meets contemporary - MOD LIGHTING,https://mod-lighting.com,shopify,html-marker,"ceiling light,chandelier,lamp,lighting,pendant,pendant light,sconce,wall light,wall sconce",9,0,seedfile,seed-file
kingsoutdoorlighting.com,Kings Outdoor Lighting | Outdoor Lighting For Homes,https://kingsoutdoorlighting.com,shopify,products.json,"landscape lighting,light bulb,lighting,outdoor lighting,pendant,pendant light,sconce,spotlight",8,0,seedfile,seed-file
ivoryanddeene.com.au,Ivory & Deene | Affordable Luxury,https://ivoryanddeene.com.au,shopify,html-marker,"chandelier,lighting,outdoor lighting,pendant,pendant light,wall light",6,0,seedfile,seed-file
revolveled.com,Commercial LED Lighting | Shop Commercial & Industrial LED Lighting Online - Revolve LED,https://revolveled.com,shopify,products.json,"lighting,outdoor lighting,wall light",3,0,seedfile,seed-file
neonsignsdepot.com,Custom LED Neon Signs for Home & Business | Neon Signs Depot,https://neonsignsdepot.com,woocommerce,store-api,"lamp,neon sign",2,0,seedfile,seed-file
2modern.com,"Modern Furniture, Lighting, and Accessories - 2Modern",https://2modern.com,shopify,products.json,lighting,1,0,seedfile,seed-file
starlightchandeliers.ca,"Starlight Chandeliers Canada - Luxury, Modern & Crystal Chandeliers",https://starlightchandeliers.ca,shopify,products.json,chandelier,1,0,seedfile,seed-file
